month,water_stored
1,10.238088414634145
2,5.847759146341463
3,5.292528658536584
4,5.61351768292683
5,4.085760975609758
6,4.649884756097564
7,5.234432926829271
8,6.690920731707321
9,6.911699390243906
10,10.905285625000003
11,14.673949375000001
12,14.14763625
